Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-267.1663	-361.062	93.89569	1.189431	0.6949584
6	-263.5249	-357.1109	93.58596	1.559238	0.517591
12	-265.7647	-359.398	93.63328	1.464809	0.6707488
18	-255.2786	-348.7932	93.51452	1.600937	0.3867323
24	-257.5355	-351.2232	93.68765	1.360598	0.7544966
30	-266.2607	-360.0433	93.78259	0.955873	1.096139
36	-264.0931	-357.9272	93.83414	0.9043209	1.096139
42	-270.27	-364.3058	94.03581	0.8434547	0.9588052
48	-264.8498	-358.7488	93.89893	0.9880615	0.9506986
54	-267.649	-361.7118	94.06279	0.9863644	0.7531506
60	-269.1259	-362.7217	93.59581	1.033091	1.193444
66	-270.9019	-364.5386	93.63673	1.071312	1.12382
72	-276.0993	-369.6189	93.51964	0.992673	1.29104
78	-274.3863	-367.5685	93.18221	1.311942	1.305808
84	-271.8122	-365.7813	93.96914	0.9893037	0.8714597
90	-268.4618	-362.3052	93.84341	1.30225	0.5083917
96	-266.3511	-360.1283	93.77728	1.365712	0.5383831
102	-267.9546	-361.7339	93.77937	1.365712	0.4812812
108	-272.083	-365.8502	93.7672	1.367364	0.4287347
114	-272.0599	-365.3007	93.24083	1.00207	1.501134
120	-271.0992	-364.2052	93.10604	0.739887	1.786696
126	-270.0715	-362.9709	92.89944	0.3335998	2.196351
132	-264.2113	-357.0293	92.81797	0.6776164	2.024289
138	-267.6672	-360.9914	93.32423	0.3317924	1.916785
144	-263.5856	-357.1195	93.53396	1.296472	1.008483
150	-265.7177	-358.9947	93.27703	0.929566	1.528231
156	-268.402	-362.0986	93.69659	1.071551	1.068553
162	-278.8352	-372.47	93.63479	1.207847	0.9962981
168	-272.157	-365.792	93.63497	0.873013	1.294575
174	-272.0605	-365.4216	93.36106	0.9626768	1.439886
180	-266.678	-360.6919	94.01391	0.9381801	0.8788706
186	-266.7904	-360.4926	93.70218	1.232366	0.8989216
192	-269.1759	-362.9001	93.72422	0.8742928	1.21939
198	-273.9226	-367.9127	93.99015	0.6083653	1.21939
204	-276.4468	-370.2495	93.80272	1.335984	0.5619654
210	-281.3145	-374.9667	93.65226	1.429872	0.70024
216	-275.1126	-368.6143	93.50171	1.624079	0.4065413
222	-257.1498	-350.5919	93.44209	1.702694	0.5228315
228	-272.7151	-366.4159	93.70076	1.393836	0.6775144
234	-270.8519	-364.5196	93.66773	1.470131	0.5656682
240	-271.0881	-364.9759	93.88781	1.181386	0.7220393
246	-264.3432	-358.1186	93.77534	1.321905	0.6723943
252	-259.2979	-352.9667	93.66886	1.258318	0.9071739
258	-264.1879	-357.9321	93.74419	1.185573	0.904292
264	-261.059	-354.7404	93.68141	1.459104	0.4503254
270	-261.0336	-354.8668	93.83325	1.280615	0.6372111
276	-261.5911	-355.4472	93.85603	1.26607	0.6168811
282	-265.5483	-358.107	92.55872	2.236619	0.1891213
